2026-04-16 00:43:40, MOVE, v:1, k:ed@triangulo, mode:PICK
2026-04-16 00:56:26, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-04-16 00:57:04, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-04-16 01:01:56, MOVE, v:1, k:ed@triangulo, mode:BACK
2026-04-16 01:02:00, MOVE, v:1, k:ed@fractais_png, mode:PICK
2026-04-16 01:02:01, EXEC, v:1, k:ed@fractais_png, mode:LOCK, rate:0, size:133
2026-04-16 01:02:04, MOVE, v:1, k:ed@fractais_png, mode:BACK
2026-04-16 01:02:01, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-04-16 01:01:31, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-04-16 01:02:24, MOVE, v:1, k:ed@queimada, mode:PICK
2026-04-16 01:02:53, EXEC, v:1, k:ed@queimada, mode:FULL, rate:100
2026-04-16 01:02:54, MOVE, v:1, k:ed@queimada, mode:BACK
2026-04-16 01:02:57, MOVE, v:1, k:ed@queimada, mode:PICK
2026-04-16 01:02:58, MOVE, v:1, k:ed@queimada, mode:BACK
2026-04-16 01:03:06, MOVE, v:1, k:ed@queimada, mode:PICK
2026-04-16 01:03:07, EXEC, v:1, k:ed@queimada, mode:FULL, rate:100
2026-04-16 01:03:08, MOVE, v:1, k:ed@queimada, mode:BACK
2026-04-16 01:04:47, SELF, v:1, k:ed@queimada, self:1, rate:100, guided:1
2026-04-16 01:05:52, MOVE, v:1, k:ed@fractais_png, mode:PICK
2026-04-16 01:06:42, MOVE, v:1, k:ed@fractais_png, mode:BACK
2026-04-16 01:06:56, MOVE, v:1, k:ed@fractais_png, mode:PICK
2026-04-16 01:06:38, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-04-16 01:11:08, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-04-16 01:11:13, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-04-16 01:17:06, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-04-16 01:16:02, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-04-16 01:17:26, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-04-16 01:17:33, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-04-16 15:19:53, MOVE, v:1, k:ed@fractais_png, mode:BACK
2026-04-16 15:20:18, MOVE, v:1, k:ed@fractais_png, mode:PICK
2026-04-16 15:23:32, MOVE, v:1, k:ed@fractais_png, mode:PICK
2026-04-16 15:23:54, MOVE, v:1, k:ed@fractais_png, mode:BACK
2026-04-16 15:24:24, MOVE, v:1, k:ed@fractais_png, mode:PICK
2026-04-16 15:24:53, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-04-16 15:29:48, MOVE, v:1, k:ed@fractais_png, mode:BACK
2026-04-16 15:32:39, MOVE, v:1, k:ed@fractais_png, mode:PICK
