2026-03-11 11:27:23, MOVE, v:1, k:ed@princesa, mode:DOWN
2026-03-11 11:27:29, MOVE, v:1, k:ed@princesa, mode:PICK
2026-03-11 11:28:25, EXEC, v:1, k:ed@princesa, mode:FULL, rate:0, size:12
2026-03-11 11:28:35, MOVE, v:1, k:ed@princesa, mode:BACK
2026-03-11 11:28:56, MOVE, v:1, k:ed@apagando, mode:DOWN
2026-03-11 11:29:07, MOVE, v:1, k:ed@apagando, mode:PICK
2026-03-11 11:29:35, MOVE, v:1, k:ed@apagando, mode:BACK
2026-03-11 11:30:08, MOVE, v:1, k:ed@princesa, mode:PICK
2026-03-11 11:31:12, MOVE, v:1, k:ed@princesa, mode:PICK
2026-03-11 14:48:49, MOVE, v:1, k:ed@princesa, mode:BACK
